ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
Ald2.1	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.2	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.3	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.4	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.5	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.6	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.7	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald2.8	38.39336	-3.4083	916.5	144	122	37	6840	336	11	325	96	236	236	62	500	66	6	46	180	38	38	158	38.39336_-3.4083
Ald3.1	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.2	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.3	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.4	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.5_R1	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.5_R2	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.6	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.7	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald3.8	38.39776	-3.45227	1037.7	134	123	37	6899	330	1	329	86	228	228	52	542	71	8	44	194	44	44	170	38.39776_-3.45227
Ald4.1	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.2	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.3	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.4	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.5	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.6	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.7	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
Ald4.8	38.4007	-3.39935	786.4	148	121	37	6800	339	15	324	101	240	240	67	482	64	6	45	174	36	36	152	38.4007_-3.39935
ALM.1	-35.62625	146.79668	213.5	153	128	44	5592	312	27	285	92	223	225	82	578	61	32	21	175	109	114	168	-35.62625_146.79668
Aqe.1	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.2	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.3	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.4	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.5	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.6	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.7	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Aqe.8	37.05709	-4.49183	477.6	162	104	38	5704	314	45	269	102	238	238	94	598	90	3	63	260	21	21	246	37.05709_-4.49183
Arc1	42.58087	-2.20273	465.5	126	101	39	5583	271	14	257	93	198	198	56	643	68	34	18	185	125	125	166	42.58087_-2.20273
Arc23	42.58087	-2.20273	465.5	126	101	39	5583	271	14	257	93	198	198	56	643	68	34	18	185	125	125	166	42.58087_-2.20273
Arc24	42.58087	-2.20273	465.5	126	101	39	5583	271	14	257	93	198	198	56	643	68	34	18	185	125	125	166	42.58087_-2.20273
Arc7	42.58087	-2.20273	465.5	126	101	39	5583	271	14	257	93	198	198	56	643	68	34	18	185	125	125	166	42.58087_-2.20273
Arn1	42.25651	0.72985	678.1	113	99	37	5957	260	-7	267	135	37	190	37	778	85	46	19	236	153	204	153	42.25651_0.72985
Arn1018	42.25651	0.72985	678.1	113	99	37	5957	260	-7	267	135	37	190	37	778	85	46	19	236	153	204	153	42.25651_0.72985
Arn2	42.25651	0.72985	678.1	113	99	37	5957	260	-7	267	135	37	190	37	778	85	46	19	236	153	204	153	42.25651_0.72985
Arn3	42.25651	0.72985	678.1	113	99	37	5957	260	-7	267	135	37	190	37	778	85	46	19	236	153	204	153	42.25651_0.72985
Arn6	42.25651	0.72985	678.1	156	81	35	5120	278	49	229	166	223	224	94	568	89	19	34	202	94	119	128	42.25651_0.72985
B.A.2.R1	40.23333	37.91667	465	96	111	35	6898	258	-53	311	88	179	179	3	552	73	10	43	198	46	67	163	40.23333_37.91667
B.A.2.R2	40.23333	37.91667	465	96	111	35	6898	258	-53	311	88	179	179	3	552	73	10	43	198	46	67	163	40.23333_37.91667
Ba6.4	38.671997	-7.020081	232.3	166	115	39	5866	334	46	288	102	242	243	94	539	75	4	54	212	33	34	202	38.671997_-7.020081
Ba6.6	38.671997	-7.020081	232.3	166	115	39	5866	334	46	288	102	242	243	94	539	75	4	54	212	33	34	202	38.671997_-7.020081
Bai.1	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.2_R1	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.2_R2	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.3	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.4	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.5	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.6	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.7	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bai.8	38.09331	-3.80247	347.1	174	112	36	6729	355	45	310	104	264	264	92	478	71	3	55	181	21	21	170	38.09331_-3.80247
Bal.P1	38.88477778	37.87966667	1234.8	107	118	31	8824	310	-63	373	96	215	215	-11	429	58	4	54	165	16	33	138	38.88477778_37.87966667
